Date,"Close Price"
"2017-06-13 00:00:00",2738.93
"2017-06-14 00:00:00",2494.48
"2017-06-15 00:00:00",2456.92
"2017-06-16 00:00:00",2528.1
"2017-06-17 00:00:00",2664
"2017-06-18 00:00:00",2576.17
"2017-06-19 00:00:00",2641.66
"2017-06-20 00:00:00",2778.83
"2017-06-21 00:00:00",2712.16
"2017-06-22 00:00:00",2740.79
"2017-06-23 00:00:00",2738.22
"2017-06-24 00:00:00",2619.12
"2017-06-25 00:00:00",2594.45
"2017-06-26 00:00:00",2485.36
"2017-06-27 00:00:00",2593.17
"2017-06-28 00:00:00",2584.56
"2017-06-29 00:00:00",2561.56
"2017-06-30 00:00:00",2499.98
"2017-07-01 00:00:00",2460.2
"2017-07-02 00:00:00",2529.78
"2017-07-03 00:00:00",2581.07
"2017-07-04 00:00:00",2625.07
"2017-07-05 00:00:00",2629.27
"2017-07-06 00:00:00",2619.11
"2017-07-07 00:00:00",2521.24
"2017-07-08 00:00:00",2579.93
"2017-07-09 00:00:00",2525.67
"2017-07-10 00:00:00",2371.96
"2017-07-11 00:00:00",2332.19
"2017-07-12 00:00:00",2423.16
"2017-07-13 00:00:00",2364.52
"2017-07-14 00:00:00",2232.65
"2017-07-15 00:00:00",1993.26
"2017-07-16 00:00:00",1938.94
"2017-07-17 00:00:00",2244.26
"2017-07-18 00:00:00",2327.9
"2017-07-19 00:00:00",2294.4
"2017-07-20 00:00:00",2877.39

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
